,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
109,1,0,0,1,0,Lyon,Auxerre,1.36,3.2,4.6875,0.7058823529411765,11,7,4,1,0,2,1,2,3,0,0
110,0,0,1,1,0,Angers,Reims,2.1,1.72,1.3469387755102038,1.1498257839721253,6,9,0,2,3,1,2,2,2,1,2
111,0,1,0,0,1,Paris SG,Monaco,1.25,4.0,6.779661016949153,0.6153846153846154,23,7,4,1,0,1,3,1,1,1,3
112,0,1,0,0,1,Reims,Lyon,1.66,2.2,0.9523809523809523,2.2857142857142856,7,12,0,2,3,4,1,0,1,3,1
113,1,0,0,1,0,Troyes,Angers,2.0,1.8,1.3469387755102038,1.1379310344827587,7,6,1,1,3,1,2,2,2,1,2
114,0,0,1,1,0,Nice,Marseille,1.99,1.91,1.2962962962962963,1.3725490196078431,5,14,1,2,2,4,1,0,1,1,3
115,1,0,0,1,0,Lorient,Clermont,2.06,1.84,1.6585365853658538,0.8947368421052632,6,7,2,3,0,2,0,3,2,1,0
116,0,0,1,1,0,Brest,Montpellier,1.72,2.1,1.8947368421052633,0.9,8,13,1,1,3,2,0,3,1,2,2
117,1,0,0,1,0,Nantes,Toulouse,1.94,1.96,1.3924050632911391,1.0999999999999999,6,8,1,3,1,1,2,2,3,1,1
118,1,0,0,1,0,Lens,Rennes,1.72,2.1,1.3725490196078431,1.2962962962962963,11,6,3,2,0,1,2,2,3,2,0
119,1,0,0,0,1,Auxerre,Strasbourg,1.9,2.0,1.0285714285714287,1.75609756097561,7,3,2,1,2,0,2,3,1,0,0
120,0,0,1,1,0,Ajaccio,Lille,2.37,1.57,0.9411764705882354,1.4545454545454546,4,11,0,1,4,2,2,1,0,0,5
121,0,0,1,1,0,Lille,Paris SG,1.57,2.37,0.7916666666666666,3.1666666666666665,11,26,2,2,1,5,0,0,1,1,3
122,1,0,0,1,0,Rennes,Ajaccio,1.97,1.93,3.3928571428571432,0.59375,7,5,2,2,1,1,1,3,3,1,1
123,0,1,0,1,0,Toulouse,Lorient,2.03,1.87,1.707317073170732,0.9722222222222222,7,4,1,2,2,1,3,1,1,3,1
124,0,0,1,1,0,Montpellier,Auxerre,1.91,1.99,1.6190476190476188,0.9714285714285714,6,6,1,0,4,1,1,3,2,0,1
125,1,0,0,0,1,Clermont,Nice,2.03,1.87,0.9066666666666666,1.6585365853658538,6,6,2,0,3,1,2,2,2,0,1
126,0,0,1,1,0,Angers,Brest,2.02,1.88,1.4130434782608696,1.015625,5,10,1,2,2,1,1,3,2,2,1
127,0,1,0,0,1,Strasbourg,Reims,2.1,1.72,2.0,0.7368421052631579,4,8,1,2,2,1,1,3,0,3,2
128,1,0,0,1,0,Marseille,Nantes,1.83,2.07,2.625,0.7636363636363637,11,5,3,1,1,0,3,2,4,1,0
129,0,0,1,1,0,Monaco,Lens,1.66,2.2,2.1714285714285713,0.8775981524249422,10,12,2,2,1,3,2,0,0,2,3
130,1,0,0,1,0,Lyon,Troyes,1.44,2.75,4.4921875,0.6388888888888888,13,5,4,0,1,0,1,4,5,0,0
131,0,1,0,0,1,Brest,Marseille,1.72,2.1,0.9047619047619047,2.076502732240437,7,12,0,1,4,3,1,1,1,1,3
132,0,1,0,0,1,Nice,Strasbourg,2.1,1.72,1.5348837209302326,0.9428571428571428,10,4,2,2,1,2,1,2,1,2,2
133,0,0,1,1,0,Troyes,Toulouse,2.1,1.72,1.1851851851851851,1.1851851851851851,6,5,0,2,3,1,1,3,0,1,4
134,0,0,1,1,0,Reims,Clermont,2.2,1.66,1.488372093023256,0.888888888888889,8,7,1,0,4,2,0,3,1,1,1
135,0,1,0,1,0,Auxerre,Angers,2.1,1.72,1.477272727272727,0.9285714285714286,6,8,0,1,4,2,2,1,0,1,0
136,0,1,0,0,1,Ajaccio,Lens,2.2,1.66,1.015625,1.4130434782608696,4,10,1,1,3,3,2,0,0,1,0
137,1,0,0,1,0,Paris SG,Montpellier,1.22,4.33,11.11111111111111,0.5714285714285714,21,6,4,1,0,1,0,4,5,0,0
138,0,1,0,0,1,Monaco,Rennes,1.72,2.1,1.627906976744186,1.0769230769230769,11,6,3,2,0,1,2,2,3,1,1
139,0,1,0,0,1,Nantes,Lille,1.98,1.92,1.1333333333333333,1.4166666666666667,6,11,1,3,1,2,2,1,0,2,3
140,1,0,0,1,0,Marseille,Reims,1.96,1.94,2.6751592356687897,0.7636363636363637,11,8,3,0,2,2,0,3,3,2,0
141,0,0,1,0,1,Rennes,Lorient,1.61,2.3,3.8602941176470584,0.6176470588235294,7,3,2,1,2,1,2,2,3,1,1
142,1,0,0,1,0,Montpellier,Troyes,1.97,1.93,1.5909090909090908,1.0606060606060606,6,9,1,1,3,1,2,2,2,2,1
143,1,0,0,1,0,Lille,Auxerre,1.86,2.04,2.3529411764705883,0.8888888888888888,10,6,2,1,2,1,0,4,2,1,0
144,1,0,0,1,0,Lens,Brest,1.66,2.2,2.7579617834394905,0.8247619047619048,12,8,3,2,0,1,0,4,2,1,2
145,0,1,0,0,1,Angers,Nantes,2.1,1.72,1.2037037037037037,1.2037037037037037,6,7,2,1,2,1,3,1,0,3,2
146,0,1,0,0,1,Toulouse,Nice,1.91,1.99,1.1498257839721253,1.3199999999999998,2,10,0,1,4,3,1,1,0,3,2
147,0,0,1,1,0,Clermont,Paris SG,1.4,3.0,0.6842105263157895,5.2,3,19,1,0,4,3,2,0,0,0,3
148,0,0,1,1,0,Strasbourg,Monaco,2.03,1.87,1.2404580152671756,1.1818181818181819,6,12,2,1,2,4,1,0,2,1,2
149,1,0,0,1,0,Lyon,Ajaccio,1.66,2.2,3.9473684210526314,0.6176470588235294,12,5,4,0,1,1,0,4,3,0,2
150,0,0,1,1,0,Reims,Nice,1.66,2.2,0.9375,2.0270270270270268,7,10,2,0,3,4,0,1,0,4,1
151,1,0,0,1,0,Paris SG,Metz,1.22,4.33,7.083333333333334,0.85,15,6,2,3,0,2,1,2,5,0,0
152,0,1,0,0,1,Nantes,St Etienne,1.61,2.3,1.346153846153846,1.3358778625954197,12,5,2,2,1,0,1,4,2,3,0
153,1,0,0,1,0,Marseille,Strasbourg,1.72,2.1,1.75609756097561,1.0,8,5,3,0,2,2,1,2,4,1,0
154,0,1,0,0,1,Lorient,Troyes,1.72,2.1,1.627906976744186,1.0294117647058825,2,7,0,2,3,1,2,2,3,1,1
155,0,1,0,1,0,Lille,Rennes,1.61,2.3,0.8660508083140878,2.0833333333333335,7,12,2,1,2,3,1,1,3,2,0
156,0,1,0,1,0,Lens,Monaco,1.57,2.37,1.2121212121212122,2.0,10,14,2,3,0,4,1,0,2,2,1
157,0,0,1,1,0,Clermont,Lyon,1.44,2.75,1.0,2.2222222222222223,5,15,1,1,3,4,0,1,0,1,1
158,0,0,1,1,0,Brest,Bordeaux,1.5,2.62,2.1052631578947367,1.1428571428571428,7,8,2,0,3,1,1,3,2,1,2
159,1,0,0,0,1,Angers,Montpellier,1.61,2.3,1.875,1.0714285714285714,8,5,2,1,2,0,1,4,2,1,2
160,0,0,1,1,0,Troyes,Lens,1.72,2.1,1.0588235294117647,1.7142857142857142,6,10,1,1,3,3,2,0,0,0,2
161,1,0,0,0,1,Strasbourg,Clermont,1.66,2.2,3.2758620689655173,0.7307692307692307,7,5,3,1,1,2,1,2,2,0,0
162,0,0,1,1,0,St Etienne,Reims,1.8,2.1,2.3255813953488373,0.8888888888888888,6,7,0,1,4,3,0,2,0,2,3
163,1,0,0,0,1,Rennes,Marseille,1.66,2.2,1.8,1.0,11,7,3,0,2,3,0,2,2,0,3
164,0,0,1,1,0,Nice,Lille,1.72,2.1,2.3255813953488373,0.8888888888888888,7,6,3,0,2,2,0,3,1,2,2
165,0,0,1,1,0,Montpellier,Paris SG,1.33,3.4,0.7333333333333333,4.044117647058823,5,13,0,1,4,2,3,0,0,0,5
166,1,0,0,1,0,Monaco,Brest,1.44,2.75,5.2,0.65,13,7,5,0,0,3,0,2,3,0,2
167,1,0,0,0,1,Metz,Angers,1.87,2.03,2.0,1.0133333333333332,6,6,2,1,2,1,1,3,1,1,3
168,1,0,0,1,0,Lyon,Nantes,1.36,3.2,3.6458333333333335,0.9130434782608695,14,13,3,0,2,2,1,2,4,0,1
169,0,1,0,0,1,Bordeaux,Lorient,1.66,2.2,1.5,1.2857142857142858,6,2,0,2,3,1,1,3,1,3,1
170,1,0,0,1,0,Nantes,Rennes,1.72,2.1,0.8421052631578947,2.4096385542168677,12,11,2,2,1,2,0,3,1,1,3
171,1,0,0,1,0,Nice,St Etienne,1.86,2.04,2.5477707006369426,0.6956521739130435,8,7,4,0,1,1,1,3,3,0,2
172,0,1,0,1,0,Paris SG,Troyes,1.4,3.0,6.03448275862069,0.4117647058823529,11,6,2,3,0,1,2,2,4,1,0
173,0,0,1,1,0,Lorient,Marseille,1.85,2.05,1.0,2.054054054054054,3,8,1,0,4,3,0,2,0,0,5
174,0,0,1,1,0,Reims,Lens,2.06,1.84,1.0,1.4666666666666666,5,9,2,1,2,3,2,0,0,3,2
175,1,0,0,1,0,Clermont,Montpellier,1.72,2.1,2.0,1.0,6,5,2,2,1,0,2,3,1,0,1
176,1,0,0,1,0,Angers,Bordeaux,2.01,1.89,1.6666666666666665,1.0294117647058825,7,7,1,2,2,0,1,4,2,1,2
177,1,0,0,1,0,Metz,Lyon,1.53,2.5,0.7142857142857143,3.5714285714285716,6,17,1,2,2,3,0,2,2,1,2
178,0,0,1,0,1,Brest,Strasbourg,1.93,1.97,0.76,2.235294117647059,6,7,3,0,2,2,2,1,1,1,3
179,0,0,1,1,0,Lille,Monaco,1.8,2.0,0.9600000000000001,1.8461538461538463,4,12,1,0,4,5,0,0,1,2,2
180,0,0,1,1,0,Marseille,Lyon,1.61,2.3,1.5555555555555556,1.1666666666666667,7,16,3,0,2,3,1,1,1,2,2
181,0,0,1,0,1,Bordeaux,Nice,1.72,2.1,0.9600000000000001,1.8461538461538463,9,4,1,1,3,3,0,2,1,2,2
182,0,1,0,1,0,Montpellier,Metz,1.87,2.03,2.0930232558139537,0.72,4,4,0,2,3,0,2,3,1,3,1
183,1,0,0,0,1,Monaco,Angers,1.66,2.2,3.3928571428571432,0.59375,12,4,5,0,0,0,3,2,5,0,0
184,0,0,1,1,0,Lorient,Reims,2.3,1.61,1.4222222222222223,0.9411764705882354,9,6,2,0,3,2,1,2,3,1,1
185,1,0,0,0,1,Brest,Clermont,1.99,1.91,1.4782608695652175,1.096774193548387,7,5,3,1,1,1,2,2,1,1,0
186,1,0,0,1,0,Troyes,Lille,2.2,1.66,0.9027777777777778,1.5116279069767442,5,4,1,1,3,1,1,3,3,1,1
187,1,0,0,0,1,Rennes,St Etienne,1.5,2.62,4.135338345864661,0.6875,13,7,3,0,2,1,1,3,4,0,1
188,0,1,0,1,0,Lens,Nantes,1.86,2.04,2.303030303030303,0.6909090909090909,10,11,3,2,0,1,3,1,1,3,1
189,0,1,0,1,0,Strasbourg,Paris SG,1.66,2.2,1.0133333333333332,2.0,7,15,1,3,1,3,2,0,0,1,4
190,0,0,1,0,1,Reims,Marseille,2.2,1.66,0.868421052631579,1.6097560975609757,4,11,1,1,3,4,0,1,1,2,2
191,1,0,0,0,1,Lille,Strasbourg,2.2,1.66,1.4666666666666666,1.0,4,5,1,2,2,2,2,1,4,1,0
192,1,0,0,0,1,Nice,Troyes,2.02,1.88,2.484472049689441,0.7272727272727273,4,3,2,1,2,1,1,3,3,0,2
193,1,0,0,1,0,Nantes,Bordeaux,1.96,1.94,2.142857142857143,0.7894736842105263,12,9,2,2,1,1,2,2,2,2,1
194,0,0,1,0,1,Metz,Brest,2.2,1.66,1.1149825783972125,1.254901960784314,3,7,0,1,4,3,1,1,2,0,3
195,0,1,0,1,0,Clermont,Angers,2.1,1.72,1.434782608695652,1.0312499999999998,7,6,1,2,2,0,3,2,1,1,0
196,1,0,0,1,0,Rennes,Lorient,1.66,2.2,3.2758620689655173,0.7307692307692307,12,9,2,1,2,2,0,3,4,1,0
197,0,1,0,0,1,Paris SG,Lens,1.44,2.75,4.615384615384615,0.7058823529411765,17,8,4,1,0,3,1,1,2,2,1
198,0,0,1,1,0,St Etienne,Monaco,1.85,2.05,0.9047619047619047,2.076502732240437,9,12,1,1,3,5,0,0,1,1,3
199,1,0,0,1,0,Lyon,Montpellier,1.44,2.75,4.135338345864661,0.6470588235294118,16,3,3,1,1,0,1,4,2,0,3
200,1,0,0,1,0,Strasbourg,Rennes,1.96,1.94,1.3725490196078431,1.2962962962962963,5,13,2,3,0,2,1,2,1,1,3
201,1,0,0,1,0,Marseille,Nantes,1.97,1.93,2.484472049689441,0.7272727272727273,12,7,4,0,1,1,2,2,3,1,0
